団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
075051,福島県,古殿町,0.21,88.9,9.1,-,97.3
075213,福島県,三春町,0.44,92.4,7.7,24.3,96.3
075221,福島県,小野町,0.37,91.9,4.9,-,96.3
075418,福島県,広野町,1.34,59.3,5.3,-,98.7
075426,福島県,楢葉町,0.73,70.4,▲ 1.4,-,97.1
075434,福島県,富岡町,0.68,81.8,▲ 2.6,-,98.8
075442,福島県,川内村,0.31,90.9,6.4,-,96.9
075451,福島県,大熊町,1.46,65.1,▲ 1.4,-,95.4
075469,福島県,双葉町,0.69,64.1,3.1,-,91.7
075477,福島県,浪江町,0.42,85.4,1.8,-,92.5
075485,福島県,葛尾村,0.16,84.0,6.0,-,91.4
075612,福島県,新地町,1.08,126.4,9.6,-,98.6
075647,福島県,飯舘村,0.25,77.8,6.4,-,99.2
082015,茨城県,水戸市,0.79,98.1,9.3,128.1,99.0
082023,茨城県,日立市,0.77,99.8,1.2,-,98.5
082031,茨城県,土浦市,0.81,89.3,5.8,2.9,94.8
082040,茨城県,古河市,0.72,89.1,4.2,23.3,96.1
082058,茨城県,石岡市,0.58,93.3,6.5,-,96.3
082074,茨城県,結城市,0.69,96.1,7.7,28.8,97.5
082082,茨城県,龍ケ崎市,0.71,92.9,4.3,-,97.9
082104,茨城県,下妻市,0.65,94.4,7.8,66.1,94.9
082112,茨城県,常総市,0.69,91.8,7.7,44.3,97.4
082121,茨城県,常陸太田市,0.40,96.4,4.4,-,95.6
082147,茨城県,高萩市,0.57,93.9,7.5,28.0,98.5
082155,茨城県,北茨城市,0.67,94.8,12.6,97.9,97.5
082163,茨城県,笠間市,0.58,89.1,6.4,-,96.3
082171,茨城県,取手市,0.60,96.4,7.1,9.3,97.2
082198,茨城県,牛久市,0.80,93.6,3.0,-,95.4
082201,茨城県,つくば市,1.07,92.8,6.3,28.6,97.7
082210,茨城県,ひたちなか市,0.90,97.5,11.2,74.0,97.9
082228,茨城県,鹿嶋市,0.97,92.5,6.5,39.7,98.5
082236,茨城県,潮来市,0.48,93.0,10.2,48.3,98.0
082244,茨城県,守谷市,0.96,93.4,4.4,-,95.9
082252,茨城県,常陸大宮市,0.42,90.8,9.0,27.9,98.6
082261,茨城県,那珂市,0.61,93.1,4.2,-,97.5
082279,茨城県,筑西市,0.65,94.2,7.8,51.5,98.3
082287,茨城県,坂東市,0.64,92.9,7.2,39.6,99.7
082295,茨城県,稲敷市,0.47,89.0,8.9,-,97.7
082309,茨城県,かすみがうら市,0.57,88.8,8.9,56.9,96.8
082317,茨城県,桜川市,0.46,87.6,7.7,14.5,97.9
082325,茨城県,神栖市,1.34,94.1,4.2,27.8,95.8
082333,茨城県,行方市,0.43,88.2,8.5,24.7,97.1
082341,茨城県,鉾田市,0.45,92.9,9.9,-,98.6
082350,茨城県,つくばみらい市,0.75,94.7,6.6,20.9,97.8
082368,茨城県,小美玉市,0.57,87.4,6.9,17.7,97.9
083020,茨城県,茨城町,0.58,87.6,5.8,6.3,97.1
083097,茨城県,大洗町,0.67,94.5,7.8,81.2,96.0
083101,茨城県,城里町,0.36,90.6,8.6,40.0,96.7
083411,茨城県,東海村,1.38,92.9,2.5,-,100.6
083640,茨城県,大子町,0.32,91.6,4.0,49.3,98.7
084425,茨城県,美浦村,0.61,92.1,8.3,58.1,101.3
084433,茨城県,阿見町,0.87,96.1,4.6,-,97.2
084476,茨城県,河内町,0.33,94.4,6.8,-,95.3
085219,茨城県,八千代町,0.61,90.5,7.0,-,99.2
085421,茨城県,五霞町,0.79,93.1,14.6,34.3,94.6
085464,茨城県,境町,0.67,86.7,11.5,49.7,96.1
085642,茨城県,利根町,0.38,90.6,1.2,-,98.4
092011,栃木県,宇都宮市,0.97,93.7,3.9,44.1,101.7
092029,栃木県,足利市,0.73,89.6,4.3,-,98.9
092037,栃木県,栃木市,0.69,97.5,8.6,13.2,98.6
092045,栃木県,佐野市,0.70,93.2,2.3,-,98.1
092053,栃木県,鹿沼市,0.69,91.0,2.3,-,99.2
092061,栃木県,日光市,0.55,98.6,7.8,46.9,97.4
092088,栃木県,小山市,0.94,89.3,6.1,73.0,97.7
092096,栃木県,真岡市,0.83,91.1,5.4,-,99.3
092100,栃木県,大田原市,0.63,97.7,6.7,21.0,98.4
092118,栃木県,矢板市,0.64,91.1,8.4,-,98.2
092134,栃木県,那須塩原市,0.75,94.8,3.3,-,98.6
092142,栃木県,さくら市,0.69,94.7,8.0,-,97.6
092151,栃木県,那須烏山市,0.45,90.8,7.5,-,97.6
092169,栃木県,下野市,0.69,93.5,4.0,-,97.9
093017,栃木県,上三川町,0.93,85.1,7.3,-,97.0
093424,栃木県,益子町,0.54,89.0,7.1,0.3,96.6
093432,栃木県,茂木町,0.37,93.8,8.4,-,96.6
093441,栃木県,市貝町,0.62,91.1,5.3,-,98.5
093459,栃木県,芳賀町,0.98,85.1,1.6,21.1,100.9
093611,栃木県,壬生町,0.80,89.2,6.8,-,98.0
093645,栃木県,野木町,0.75,90.1,8.2,-,97.5
093840,栃木県,塩谷町,0.42,85.3,4.3,5.9,97.5
093866,栃木県,高根沢町,0.74,83.3,2.1,-,97.8
094072,栃木県,那須町,0.69,90.9,7.1,-,96.8
094111,栃木県,那珂川町,0.38,89.1,7.5,-,96.6
102016,群馬県,前橋市,0.78,95.3,8.2,57.6,99.1
102024,群馬県,高崎市,0.81,97.9,4.2,34.6,99.7
102032,群馬県,桐生市,0.55,95.1,4.4,-,99.2
102041,群馬県,伊勢崎市,0.81,94.0,5.3,1.3,98.3
102059,群馬県,太田市,0.94,92.1,5.8,28.2,99.4
102067,群馬県,沼田市,0.49,97.6,6.5,80.2,98.5
102075,群馬県,館林市,0.80,96.4,5.6,81.3,95.2
102083,群馬県,渋川市,0.57,95.3,4.3,-,98.6
102091,群馬県,藤岡市,0.64,93.0,5.1,-,99.4
102105,群馬県,富岡市,0.62,96.4,7.5,-,99.0
102113,群馬県,安中市,0.78,98.4,7.2,-,98.4
102121,群馬県,みどり市,0.61,99.4,4.7,-,95.6
103446,群馬県,榛東村,0.52,91.3,6.7,-,95.8
103454,群馬県,吉岡町,0.67,93.0,6.5,-,97.5
103667,群馬県,上野村,0.79,70.9,4.5,-,89.6
103675,群馬県,神流町,0.15,92.7,6.4,-,90.9
103829,群馬県,下仁田町,0.26,91.8,7.8,-,97.6
103837,群馬県,南牧村,0.13,83.0,3.6,-,93.3
103845,群馬県,甘楽町,0.46,86.3,8.3,11.2,97.0
104213,群馬県,中之条町,0.35,94.1,10.9,-,96.4
104248,群馬県,長野原町,0.51,82.2,10.7,-,98.3
104256,群馬県,嬬恋村,0.42,90.0,10.7,-,94.8
104264,群馬県,草津町,0.59,93.5,4.1,-,92.2
104281,群馬県,高山村,0.29,87.2,7.8,-,96.2
104299,群馬県,東吾妻町,0.38,96.2,11.7,13.7,98.1
104434,群馬県,片品村,0.24,81.7,5.7,-,94.7
104442,群馬県,川場村,0.24,87.6,13.0,143.7,95.7
104485,群馬県,昭和村,0.43,85.4,4.8,-,96.9
104493,群馬県,みなかみ町,0.39,90.1,8.6,-,97.1
104647,群馬県,玉村町,0.75,97.4,3.1,-,97.2
105210,群馬県,板倉町,0.60,91.6,6.3,-,95.1
105228,群馬県,明和町,0.84,88.2,8.8,43.3,97.6
105236,群馬県,千代田町,0.70,93.6,5.9,-,95.9
105244,群馬県,大泉町,0.93,95.0,4.4,-,96.6
105252,群馬県,邑楽町,0.73,89.3,6.8,-,98.6
111007,埼玉県,さいたま市,0.95,95.6,6.3,20.1,101.3
112011,埼玉県,川越市,0.94,99.8,6.5,53.4,101.4
112020,埼玉県,熊谷市,0.82,87.6,▲ 1.1,-,100.7
112038,埼玉県,川口市,0.93,98.5,2.6,9.3,101.3
112062,埼玉県,行田市,0.66,91.7,2.5,-,98.8
112071,埼玉県,秩父市,0.55,88.3,2.5,-,99.8
112089,埼玉県,所沢市,0.94,95.2,5.1,0.8,101.5
112097,埼玉県,飯能市,0.70,93.4,5.0,15.9,97.6
112101,埼玉県,加須市,0.72,94.6,5.6,-,98.1
112119,埼玉県,本庄市,0.72,94.7,3.7,-,98.4
112127,埼玉県,東松山市,0.80,94.8,4.5,18.7,98.2
112143,埼玉県,春日部市,0.71,96.1,2.9,25.6,98.6
112151,埼玉県,狭山市,0.85,93.8,5.6,-,101.3
112160,埼玉県,羽生市,0.77,93.2,10.0,46.7,97.8
112178,埼玉県,鴻巣市,0.65,95.5,4.0,4.1,100.0
112186,埼玉県,深谷市,0.71,89.9,▲ 1.9,-,97.8
112194,埼玉県,上尾市,0.86,94.8,4.9,-,101.2
112216,埼玉県,草加市,0.89,99.1,4.9,26.5,100.5
112224,埼玉県,越谷市,0.87,92.1,5.3,0.4,103.3
112232,埼玉県,蕨市,0.82,90.2,4.9,-,101.1
112241,埼玉県,戸田市,1.19,88.5,8.2,18.1,98.8
112259,埼玉県,入間市,0.87,97.8,4.2,0.5,101.1
112275,埼玉県,朝霞市,0.97,97.5,5.2,11.3,101.1
112283,埼玉県,志木市,0.80,94.9,2.4,-,100.8
112291,埼玉県,和光市,1.05,91.6,5.6,36.7,100.7
112305,埼玉県,新座市,0.87,98.5,5.4,13.6,99.3
112313,埼玉県,桶川市,0.74,92.0,5.5,25.1,99.1
112321,埼玉県,久喜市,0.81,91.4,4.2,-,96.7
112330,埼玉県,北本市,0.73,92.3,7.9,-,99.6
112348,埼玉県,八潮市,1.01,88.2,7.4,53.5,100.6
112356,埼玉県,富士見市,0.78,93.9,3.0,-,98.5
112372,埼玉県,三郷市,0.91,97.7,7.8,43.6,98.9
